region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
231,2,2e-4,0.0121,FALSE,TRUE,FALSE,0,0.0503
232,2,0.0579,0.2711,TRUE,TRUE,FALSE,0.1256,0.4573
233,1,0.0052,NA,FALSE,NA,FALSE,0.0201,0.0503
234,1,0.0128,NA,TRUE,NA,FALSE,0.0402,0.0402
235,2,1e-4,0.0458,FALSE,TRUE,FALSE,0,0.1256
236,1,0.4115,NA,TRUE,NA,FALSE,0.5477,0.5528
237,1,5e-4,NA,FALSE,NA,FALSE,0.0151,0.005
238,2,0,0.0114,FALSE,TRUE,FALSE,0,0.0653
239,2,0.1205,0.1927,TRUE,TRUE,FALSE,0.2915,0.4271
240,1,0.1044,NA,TRUE,NA,FALSE,0.1407,0.196
241,1,0.4489,NA,TRUE,NA,FALSE,0.5126,0.6281
242,2,2e-4,0.0011,FALSE,FALSE,FALSE,0.0101,0.0101
243,2,0.0022,0.6993,FALSE,TRUE,FALSE,0.0452,0.7889
244,1,0.8835,NA,TRUE,NA,FALSE,0.9497,0.9196
245,2,4e-4,0.0272,FALSE,TRUE,FALSE,0.005,0.1859
246,2,0.0026,0.1879,FALSE,TRUE,FALSE,0.0402,0.4523
247,2,6e-4,0.022,FALSE,TRUE,FALSE,0.0251,0.1809
248,2,0.0187,0.4771,TRUE,TRUE,FALSE,0.1005,0.7437
249,2,0.0229,0.7427,TRUE,TRUE,FALSE,0.0905,0.9045
250,1,0.6556,NA,TRUE,NA,FALSE,0.7236,0.7236
251,1,0.8196,NA,TRUE,NA,FALSE,0.8543,0.8894
252,2,0.0038,0.69,FALSE,TRUE,FALSE,0.0101,0.799
253,2,0.0079,0.6238,FALSE,TRUE,FALSE,0.0704,0.7839
254,1,0,NA,FALSE,NA,FALSE,0,0.0101
255,2,0.0026,0.1319,FALSE,TRUE,FALSE,0.0352,0.3266
256,2,0,0.0028,FALSE,FALSE,FALSE,0,0.0251
257,2,0.0018,0.0876,FALSE,TRUE,FALSE,0.0452,0.2764
258,2,1e-4,0.053,FALSE,TRUE,FALSE,0,0.2312
259,2,9e-4,0.0065,FALSE,FALSE,FALSE,0.0302,0.0402
260,2,0.0424,0.3895,TRUE,TRUE,FALSE,0.2161,0.7236
261,1,0.0109,NA,TRUE,NA,FALSE,0.0251,0.0754
262,2,2e-4,0.1116,FALSE,TRUE,FALSE,0.0101,0.3015
263,1,0.0033,NA,FALSE,NA,FALSE,0.0251,0.0201
264,2,1e-4,0.008,FALSE,FALSE,FALSE,0,0.0553
265,2,0,6e-4,FALSE,FALSE,FALSE,0,0.005
266,2,0.0076,0.1062,FALSE,TRUE,FALSE,0.1005,0.2362
267,2,0.0048,0.7427,FALSE,TRUE,FALSE,0.0452,0.8693
268,1,0.0133,NA,TRUE,NA,FALSE,0.0653,0.0603
269,1,0.4779,NA,TRUE,NA,FALSE,0.6231,0.6332
270,1,0.506,NA,TRUE,NA,FALSE,0.6281,0.6281
271,2,1e-4,0.1084,FALSE,TRUE,FALSE,0.005,0.3166
272,2,8e-4,0.5854,FALSE,TRUE,FALSE,0.0201,0.7186
273,2,3e-4,0.2095,FALSE,TRUE,FALSE,0,0.4121
274,2,0.0013,0.1996,FALSE,TRUE,FALSE,0.005,0.2864
275,2,1e-4,0.0685,FALSE,TRUE,FALSE,0.0201,0.1759
276,2,0.0134,0.4576,TRUE,TRUE,FALSE,0.0905,0.5678
277,1,0.0124,NA,TRUE,NA,FALSE,0.0352,0.0704
278,2,0.1847,0.7744,TRUE,TRUE,FALSE,0.3266,0.8995
