region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
416,2,1e-4,0.6545,FALSE,TRUE,FALSE
417,1,0.1255,NA,TRUE,NA,FALSE
418,2,0.0031,0.6876,FALSE,TRUE,FALSE
419,2,0.0032,0.7617,FALSE,TRUE,FALSE
420,2,0.0066,0.064,FALSE,TRUE,FALSE
421,1,0.2548,NA,TRUE,NA,FALSE
422,2,0.0021,0.1245,FALSE,TRUE,FALSE
423,2,0.0016,0.378,FALSE,TRUE,FALSE
424,1,0.5837,NA,TRUE,NA,FALSE
425,2,2e-4,0.0025,FALSE,FALSE,FALSE
426,2,7e-4,0.7697,FALSE,TRUE,FALSE
427,1,0.0757,NA,TRUE,NA,FALSE
428,2,0,0.0325,FALSE,TRUE,FALSE
429,1,5e-4,NA,FALSE,NA,FALSE
430,2,0.0018,0.0093,FALSE,FALSE,FALSE
431,2,0,2e-4,FALSE,FALSE,FALSE
432,2,0,3e-4,FALSE,FALSE,FALSE
433,2,0.2015,0.0024,TRUE,FALSE,FALSE
434,2,0.0212,0.1847,TRUE,TRUE,FALSE
435,2,0.0973,0.0085,TRUE,FALSE,FALSE
436,1,0.274,NA,TRUE,NA,FALSE
437,1,0.9729,NA,TRUE,NA,FALSE
438,2,0,0.0095,FALSE,FALSE,FALSE
439,2,0,0.0019,FALSE,FALSE,FALSE
440,2,0.0243,0.467,TRUE,TRUE,FALSE
441,1,0.5739,NA,TRUE,NA,FALSE
442,2,0,0.154,FALSE,TRUE,FALSE
443,2,0.0012,0.167,FALSE,TRUE,FALSE
444,2,0.0014,0.2386,FALSE,TRUE,FALSE
445,1,0.2992,NA,TRUE,NA,FALSE
446,2,3e-4,0.0813,FALSE,TRUE,FALSE
447,1,0.1445,NA,TRUE,NA,FALSE
448,2,0,0.1426,FALSE,TRUE,FALSE
449,2,4e-4,0.8031,FALSE,TRUE,FALSE
450,2,0,0.1901,FALSE,TRUE,FALSE
451,2,1e-4,0.0196,FALSE,TRUE,FALSE
452,2,1e-4,0.5589,FALSE,TRUE,FALSE
453,1,0,NA,FALSE,NA,FALSE
454,2,6e-4,0.7044,FALSE,TRUE,FALSE
455,1,0.1397,NA,TRUE,NA,FALSE
456,2,0,1e-4,FALSE,FALSE,FALSE
457,2,0,0.2304,FALSE,TRUE,FALSE
458,2,7e-4,0,FALSE,FALSE,FALSE
459,1,0.0044,NA,FALSE,NA,FALSE
460,2,0,0,FALSE,FALSE,FALSE
461,2,0,0.0409,FALSE,TRUE,FALSE
462,2,8e-4,0.0657,FALSE,TRUE,FALSE
463,2,1e-4,0.0441,FALSE,TRUE,FALSE
464,2,6e-4,0.0368,FALSE,TRUE,FALSE
465,1,0.0136,NA,TRUE,NA,FALSE
466,2,0,0.0048,FALSE,FALSE,FALSE
467,2,0.0459,0.4782,TRUE,TRUE,FALSE
468,1,0.3484,NA,TRUE,NA,TRUE
469,2,0.1001,0.1008,TRUE,TRUE,FALSE
470,2,0.0029,0.0063,FALSE,FALSE,FALSE
471,2,5e-4,0.3613,FALSE,TRUE,FALSE
472,2,0,0.0072,FALSE,FALSE,FALSE
473,2,0.549,0.1472,TRUE,TRUE,FALSE
474,2,0,0.157,FALSE,TRUE,FALSE
475,2,0.0024,0.0112,FALSE,TRUE,FALSE
476,2,0.0484,0.5935,TRUE,TRUE,FALSE
477,2,0,0.0183,FALSE,TRUE,FALSE
