date,value,ln_oil
2013-08-01,110.965,4.709214836274692
2013-09-01,111.62142857142901,4.715113043804001
2013-10-01,109.479130434783,4.695733941455358
2013-11-01,108.076666666667,4.682840851824257
2013-12-01,110.633636363636,4.7062241691047095
2014-01-01,107.570434782609,4.678145840293225
2014-02-01,108.812,4.68962162245754
2014-03-01,107.405714285714,4.67661338629919
2014-04-01,107.875454545455,4.680977363025815
2014-05-01,109.675909090909,4.6975297359708215
2014-06-01,111.868571428571,4.717324712853025
2014-07-01,106.983043478261,4.67267034973808
2014-08-01,101.922380952381,4.624211552543739
2014-09-01,97.3363636363636,4.578172646365854
2014-10-01,87.2695652173913,4.4690017791230625
2014-11-01,78.438,4.362308503807778
2014-12-01,62.1630434782609,4.129760666866276
2015-01-01,48.4168181818182,3.8798472364597343
2015-02-01,57.9305,4.059244016177793
2015-03-01,55.7913636363636,4.021619083866733
2015-04-01,59.3895454545454,4.08411820842962
2015-05-01,64.5614285714286,4.167617151527109
2015-06-01,62.3459090909091,4.132698057959194
2015-07-01,55.8656521739131,4.022949740036827
2015-08-01,46.9942857142857,3.850026013771432
2015-09-01,47.2345454545455,3.8551255201102355
2015-10-01,48.1240909090909,3.8737829022288177
2015-11-01,44.4171428571429,3.7936254953067063
2015-12-01,37.7217391304348,3.63023656302357
2016-01-01,30.8033333333333,3.427622909231838
2016-02-01,33.1980952380952,3.502492501930057
2016-03-01,39.0717391304348,3.6653994212688943
2016-04-01,42.247619047619,3.743547998312733
2016-05-01,47.1327272727273,3.852967606282993
2016-06-01,48.4781818181818,3.8811138373074003
2016-07-01,45.0709523809524,3.808237967629783
2016-08-01,46.1443478260869,3.83177447947403
2016-09-01,46.1886363636364,3.832733801678001
2016-10-01,49.732380952381,3.9066562491671397
2016-11-01,46.4359090909091,3.838073062745152
2016-12-01,54.0663636363636,3.990212248244665
2017-01-01,54.8927272727273,4.0053808674766405
2017-02-01,55.4935,4.016265896776527
2017-03-01,51.9682608695652,3.950633164338136
2017-04-01,53.0635,3.9714893095948125
2017-05-01,50.8708695652174,3.929290452559568
2017-06-01,46.8945454545455,3.847901367079839
2017-07-01,48.69,3.8854736701946093
2017-08-01,51.3695652173913,3.9390458806978126
2017-09-01,55.1628571428571,4.010289848952357
2017-10-01,57.6177272727273,4.053830285503381
2017-11-01,62.5754545454545,4.136373101301914
2017-12-01,64.2119047619048,4.162188625933871
2018-01-01,68.9865217391304,4.233911148402428
2018-02-01,65.422,4.180858593333547
2018-03-01,66.4454545454545,4.196381378687975
2018-04-01,71.627619047619,4.271480740476243
2018-05-01,76.6469565217391,4.339209898355201
2018-06-01,75.1914285714286,4.320037242696462
2018-07-01,74.4377272727273,4.309962900312904
2018-08-01,73.1286956521739,4.292220843108124
2018-09-01,78.86,4.367674128449481
2018-10-01,80.4704347826087,4.387889847183195
2018-11-01,65.1736363636364,4.1770550369100254
2018-12-01,56.4638095238095,4.033599893517787
2019-01-01,59.2726086956522,4.0821472885928065
2019-02-01,64.134,4.160974644519864
2019-03-01,66.4109523809524,4.195861988376646
2019-04-01,71.1968181818182,4.265448128961761
2019-05-01,70.5265217391304,4.255988833955953
2019-06-01,63.296,4.147822136000247
2019-07-01,64,4.1588830833596715
2019-08-01,59.2472727272727,4.081719749036383
2019-09-01,62.33,4.132442850820759
2019-10-01,59.37,4.083789048282584
2019-11-01,62.7442857142857,4.139067509551115
2019-12-01,65.8545454545455,4.187448453210888
2020-01-01,63.6021739130435,4.1526476507846155
2020-02-01,55.0035,4.0073968195714
2020-03-01,32.9818181818182,3.4959564454426113
2020-04-01,23.3372727272727,3.1500517702997013
2020-05-01,31.0247619047619,3.4347856567586255
2020-06-01,39.9272727272727,3.6870596173969497
2020-07-01,42.8134782608696,3.7568529656503142
2020-08-01,44.2571428571429,3.790016778927456
2020-09-01,41.0854545454545,3.715654154859848
2020-10-01,40.47,3.7005609588877744
2020-11-01,43.2242857142857,3.7664025066042623
2020-12-01,49.854347826087,3.9091057107808322
2021-01-01,54.5514285714286,3.9991439002300058
