region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
432,1,1e-4,NA,FALSE,NA,FALSE,0.0101,0.0101
433,2,6e-4,0.008,FALSE,FALSE,FALSE,0.0151,0.0352
434,2,0.0028,0.0251,FALSE,TRUE,FALSE,0.0402,0.1055
435,2,0.0088,0.0034,FALSE,FALSE,FALSE,0.0302,0.0352
436,2,2e-4,0.1105,FALSE,TRUE,FALSE,0.0251,0.2513
437,2,0.0013,0.1995,FALSE,TRUE,FALSE,0.0352,0.402
438,2,0.0016,3e-4,FALSE,FALSE,FALSE,0.0151,0.0101
439,2,1e-4,0.0191,FALSE,TRUE,FALSE,0,0.1206
440,2,0.014,0.2962,TRUE,TRUE,FALSE,0.0905,0.4874
441,2,0,0.2287,FALSE,TRUE,FALSE,0,0.3467
442,2,0,0.1552,FALSE,TRUE,FALSE,0,0.3116
443,2,5e-4,0.364,FALSE,TRUE,FALSE,0.005,0.5729
444,2,2e-4,0.6815,FALSE,TRUE,FALSE,0.005,0.7889
445,1,0.0671,NA,TRUE,NA,FALSE,0.1658,0.1709
446,2,0,0.1562,FALSE,TRUE,FALSE,0,0.2764
447,1,0.0043,NA,FALSE,NA,FALSE,0.0251,0.0452
448,2,0,0.3389,FALSE,TRUE,FALSE,0,0.4774
449,2,0,0.4393,FALSE,TRUE,FALSE,0,0.5477
450,2,0,0.1855,FALSE,TRUE,FALSE,0,0.2764
451,2,5e-4,0.0344,FALSE,TRUE,FALSE,0.005,0.1156
452,2,2e-4,0.567,FALSE,TRUE,FALSE,0.005,0.7136
453,2,0,0.1184,FALSE,TRUE,FALSE,0,0.3116
454,2,0.0021,0.0209,FALSE,TRUE,FALSE,0.0101,0.1206
455,2,0,0.8216,FALSE,TRUE,FALSE,0.005,0.9095
456,2,0,0,FALSE,FALSE,FALSE,0,0
457,2,0,0.0184,FALSE,TRUE,FALSE,0,0.1005
458,2,1e-4,0.0044,FALSE,FALSE,FALSE,0,0.0402
459,2,0,0.1498,FALSE,TRUE,FALSE,0,0.2412
460,2,0,0,FALSE,FALSE,FALSE,0,0
461,2,1e-4,0.1757,FALSE,TRUE,FALSE,0.0101,0.3869
462,2,6e-4,0.3032,FALSE,TRUE,FALSE,0.005,0.4322
463,2,0,1e-4,FALSE,FALSE,FALSE,0,0
464,2,1e-4,0.1672,FALSE,TRUE,FALSE,0.005,0.3568
465,2,0.0022,0.0206,FALSE,TRUE,FALSE,0.0302,0.1307
466,2,0,0.0019,FALSE,FALSE,FALSE,0,0.005
467,1,0.1828,NA,TRUE,NA,FALSE,0.2764,0.2613
468,1,0.007,NA,FALSE,NA,FALSE,0.0151,0.0452
469,2,0,0.0321,FALSE,TRUE,FALSE,0,0.0905
470,2,7e-4,0.3259,FALSE,TRUE,FALSE,0.0151,0.4874
471,2,9e-4,0.0882,FALSE,TRUE,FALSE,0,0.2462
472,2,0,0.0041,FALSE,FALSE,FALSE,0,0.0402
473,2,0.0067,0.2177,FALSE,TRUE,FALSE,0.0704,0.407
474,2,0,0.03,FALSE,TRUE,FALSE,0,0.1256
475,2,0,0.0127,FALSE,TRUE,FALSE,0,0.0452
476,2,0.0485,0.0945,TRUE,TRUE,FALSE,0.1709,0.2864
477,2,0,0.0106,FALSE,TRUE,FALSE,0.005,0.0603
478,2,0.0083,0.3039,FALSE,TRUE,FALSE,0.0352,0.6131
479,2,1e-4,0.4625,FALSE,TRUE,FALSE,0.005,0.6231
480,2,0,0.0222,FALSE,TRUE,FALSE,0,0.0653
481,2,0,0.3299,FALSE,TRUE,FALSE,0,0.4874
482,2,0.0071,0.1644,FALSE,TRUE,FALSE,0.0653,0.3065
483,2,0,0.2546,FALSE,TRUE,FALSE,0,0.397
484,2,0.0114,0.0047,TRUE,FALSE,FALSE,0.0804,0.0402
485,1,0.0572,NA,TRUE,NA,FALSE,0.0804,0.0854
486,2,3e-4,0.3368,FALSE,TRUE,FALSE,0.005,0.5528
487,1,0.0013,NA,FALSE,NA,FALSE,0.0251,0.0201
488,2,0,0.064,FALSE,TRUE,FALSE,0,0.1508
489,1,0,NA,FALSE,NA,FALSE,0,0
490,2,0.0032,0.0274,FALSE,TRUE,FALSE,0.0452,0.1005
491,2,0.008,0.0318,FALSE,TRUE,FALSE,0.0452,0.0905
492,2,2e-4,0.0976,FALSE,TRUE,FALSE,0.005,0.206
493,2,3e-4,0.0701,FALSE,TRUE,FALSE,0,0.1859
494,2,0.0106,0.9167,TRUE,TRUE,FALSE,0.0653,0.9598
495,2,0.0199,0.1021,TRUE,TRUE,FALSE,0.0603,0.2663
496,2,0,0.8798,FALSE,TRUE,FALSE,0,0.9447
497,2,4e-4,0.4137,FALSE,TRUE,FALSE,0.0101,0.5678
498,2,0,0.3804,FALSE,TRUE,FALSE,0,0.4673
499,2,0,0.0617,FALSE,TRUE,FALSE,0,0.196
500,2,7e-4,0.1523,FALSE,TRUE,FALSE,0.0452,0.3719
501,1,0,NA,FALSE,NA,FALSE,0,0
502,1,0.0034,NA,FALSE,NA,FALSE,0.0251,0.0452
503,2,0.0952,0.1233,TRUE,TRUE,FALSE,0.1457,0.2915
504,2,3e-4,0.0014,FALSE,FALSE,FALSE,0,0.0251
505,1,0.0475,NA,TRUE,NA,FALSE,0.1206,0.0905
506,2,0.633,0.7168,TRUE,TRUE,FALSE,0.8492,0.8392
507,2,0.0165,0.2309,TRUE,TRUE,FALSE,0.1156,0.5025
508,2,0,0.009,FALSE,FALSE,FALSE,0,0.0352
509,2,0,0.0271,FALSE,TRUE,FALSE,0.0101,0.1558
510,2,0,0.002,FALSE,FALSE,FALSE,0.0101,0.0302
511,2,6e-4,0.8157,FALSE,TRUE,FALSE,0.0101,0.8593
512,2,0.0222,8e-4,TRUE,FALSE,FALSE,0.0603,0.0352
513,2,0,0.0017,FALSE,FALSE,FALSE,0,0.0151
514,2,0.0014,0.5913,FALSE,TRUE,FALSE,0.0352,0.7889
515,2,0,0.363,FALSE,TRUE,FALSE,0,0.4824
516,2,1e-4,0.216,FALSE,TRUE,FALSE,0.005,0.3618
517,2,0,0.1163,FALSE,TRUE,FALSE,0,0.3166
518,2,0,0.0736,FALSE,TRUE,FALSE,0,0.1859
519,2,3e-4,0.0483,FALSE,TRUE,FALSE,0.0302,0.1759
520,2,0,0.6401,FALSE,TRUE,FALSE,0.005,0.7739
521,2,0,0.2296,FALSE,TRUE,FALSE,0,0.3568
522,2,0,0.0177,FALSE,TRUE,FALSE,0,0.0603
523,2,0,0.4476,FALSE,TRUE,FALSE,0,0.5126
524,2,8e-4,0.1581,FALSE,TRUE,FALSE,0.005,0.2965
525,2,0,0.9381,FALSE,TRUE,FALSE,0,0.9598
526,2,0,0,FALSE,FALSE,FALSE,0,0
527,2,0,0.5971,FALSE,TRUE,FALSE,0,0.7739
528,2,0.0059,0.0305,FALSE,TRUE,FALSE,0.0804,0.1608
529,2,0,0.3141,FALSE,TRUE,FALSE,0,0.4975
530,2,8e-4,0.4989,FALSE,TRUE,FALSE,0.0151,0.6985
531,1,9e-4,NA,FALSE,NA,FALSE,0.0101,0.0151
532,2,0,0.0061,FALSE,FALSE,FALSE,0.005,0.0653
533,2,0,9e-4,FALSE,FALSE,FALSE,0,0.0251
534,2,0,0.0515,FALSE,TRUE,FALSE,0,0.2462
