region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical
425,2,0.000,0.001,FALSE,FALSE
426,1,0.247,NA,TRUE,NA
427,2,0.001,0.399,FALSE,TRUE
428,2,0.000,0.018,FALSE,TRUE
429,1,0.000,NA,FALSE,NA
430,1,0.298,NA,TRUE,NA
431,2,0.012,0.500,TRUE,TRUE
432,1,0.000,NA,FALSE,NA
433,2,0.001,0.008,FALSE,FALSE
434,2,0.003,0.025,FALSE,TRUE
435,2,0.009,0.003,FALSE,FALSE
436,2,0.000,0.111,FALSE,TRUE
437,2,0.001,0.200,FALSE,TRUE
438,2,0.002,0.000,FALSE,FALSE
439,2,0.000,0.019,FALSE,TRUE
440,2,0.014,0.296,TRUE,TRUE
441,2,0.000,0.229,FALSE,TRUE
442,2,0.000,0.155,FALSE,TRUE
443,2,0.001,0.364,FALSE,TRUE
444,2,0.000,0.682,FALSE,TRUE
445,1,0.067,NA,TRUE,NA
446,2,0.000,0.156,FALSE,TRUE
447,1,0.004,NA,FALSE,NA
448,2,0.000,0.339,FALSE,TRUE
449,2,0.000,0.439,FALSE,TRUE
450,2,0.000,0.186,FALSE,TRUE
451,2,0.001,0.034,FALSE,TRUE
452,2,0.000,0.567,FALSE,TRUE
453,2,0.000,0.118,FALSE,TRUE
454,2,0.002,0.021,FALSE,TRUE
455,2,0.000,0.822,FALSE,TRUE
456,2,0.000,0.000,FALSE,FALSE
457,2,0.000,0.018,FALSE,TRUE
458,2,0.000,0.004,FALSE,FALSE
459,2,0.000,0.150,FALSE,TRUE
460,2,0.000,0.000,FALSE,FALSE
461,2,0.000,0.176,FALSE,TRUE
462,2,0.001,0.303,FALSE,TRUE
463,2,0.000,0.000,FALSE,FALSE
464,2,0.000,0.167,FALSE,TRUE
465,2,0.002,0.021,FALSE,TRUE
466,2,0.000,0.002,FALSE,FALSE
467,1,0.183,NA,TRUE,NA
468,1,0.007,NA,FALSE,NA
469,2,0.000,0.032,FALSE,TRUE
470,2,0.001,0.326,FALSE,TRUE
471,2,0.001,0.088,FALSE,TRUE
472,2,0.000,0.004,FALSE,FALSE
473,2,0.007,0.218,FALSE,TRUE
474,2,0.000,0.030,FALSE,TRUE
475,2,0.000,0.013,FALSE,TRUE
476,2,0.049,0.095,TRUE,TRUE
477,2,0.000,0.011,FALSE,TRUE
478,2,0.008,0.304,FALSE,TRUE
479,2,0.000,0.463,FALSE,TRUE
480,2,0.000,0.022,FALSE,TRUE
481,2,0.000,0.330,FALSE,TRUE
482,2,0.007,0.164,FALSE,TRUE
483,2,0.000,0.255,FALSE,TRUE
484,2,0.011,0.005,TRUE,FALSE
485,1,0.057,NA,TRUE,NA
486,2,0.000,0.337,FALSE,TRUE
487,1,0.001,NA,FALSE,NA
488,2,0.000,0.064,FALSE,TRUE
489,1,0.000,NA,FALSE,NA
490,2,0.003,0.027,FALSE,TRUE
491,2,0.008,0.032,FALSE,TRUE
492,2,0.000,0.098,FALSE,TRUE
493,2,0.000,0.070,FALSE,TRUE
494,2,0.011,0.917,TRUE,TRUE
495,2,0.020,0.102,TRUE,TRUE
496,2,0.000,0.880,FALSE,TRUE
497,2,0.000,0.414,FALSE,TRUE
498,2,0.000,0.380,FALSE,TRUE
499,2,0.000,0.062,FALSE,TRUE
500,2,0.001,0.152,FALSE,TRUE
501,1,0.000,NA,FALSE,NA
502,1,0.003,NA,FALSE,NA
503,2,0.095,0.123,TRUE,TRUE
504,2,0.000,0.001,FALSE,FALSE
505,1,0.048,NA,TRUE,NA
506,2,0.633,0.717,TRUE,TRUE
507,2,0.017,0.231,TRUE,TRUE
508,2,0.000,0.009,FALSE,FALSE
509,2,0.000,0.027,FALSE,TRUE
510,2,0.000,0.002,FALSE,FALSE
511,2,0.001,0.816,FALSE,TRUE
512,2,0.022,0.001,TRUE,FALSE
513,2,0.000,0.002,FALSE,FALSE
514,2,0.001,0.591,FALSE,TRUE
515,2,0.000,0.363,FALSE,TRUE
516,2,0.000,0.216,FALSE,TRUE
517,2,0.000,0.116,FALSE,TRUE
518,2,0.000,0.074,FALSE,TRUE
519,2,0.000,0.048,FALSE,TRUE
520,2,0.000,0.640,FALSE,TRUE
521,2,0.000,0.230,FALSE,TRUE
522,2,0.000,0.018,FALSE,TRUE
523,2,0.000,0.448,FALSE,TRUE
524,2,0.001,0.158,FALSE,TRUE
525,2,0.000,0.938,FALSE,TRUE
526,2,0.000,0.000,FALSE,FALSE
527,2,0.000,0.597,FALSE,TRUE
528,2,0.006,0.031,FALSE,TRUE
529,2,0.000,0.314,FALSE,TRUE
530,2,0.001,0.499,FALSE,TRUE
531,1,0.001,NA,FALSE,NA
532,2,0.000,0.006,FALSE,FALSE
533,2,0.000,0.001,FALSE,FALSE
534,2,0.000,0.052,FALSE,TRUE
535,2,0.000,0.000,FALSE,FALSE
536,2,0.000,0.002,FALSE,FALSE
537,2,0.000,0.000,FALSE,FALSE
538,2,0.002,0.780,FALSE,TRUE
539,1,0.913,NA,TRUE,NA
540,2,0.000,0.011,FALSE,TRUE
541,2,0.001,0.005,FALSE,FALSE
542,2,0.002,0.317,FALSE,TRUE
543,2,0.004,0.020,FALSE,TRUE
544,1,0.048,NA,TRUE,NA
545,2,0.000,0.001,FALSE,FALSE
546,2,0.000,0.302,FALSE,TRUE
547,2,0.006,0.804,FALSE,TRUE
548,2,0.000,0.002,FALSE,FALSE
549,2,0.015,0.126,TRUE,TRUE
550,1,0.027,NA,TRUE,NA
551,2,0.000,0.143,FALSE,TRUE
552,2,0.009,0.044,FALSE,TRUE
