region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
267,2,0.0018,0.7926,FALSE,TRUE,FALSE
268,2,0.001,0.101,FALSE,TRUE,FALSE
269,1,0.3954,NA,TRUE,NA,FALSE
270,1,0.3937,NA,TRUE,NA,FALSE
271,2,0,0.0395,FALSE,TRUE,FALSE
272,2,4e-4,0.4815,FALSE,TRUE,FALSE
273,2,1e-4,0.2368,FALSE,TRUE,FALSE
274,2,2e-4,0.1076,FALSE,TRUE,FALSE
275,2,0,0.0582,FALSE,TRUE,FALSE
276,2,0.0174,0.5653,TRUE,TRUE,FALSE
277,1,0.007,NA,FALSE,NA,FALSE
278,2,0.056,0.7963,TRUE,TRUE,FALSE
279,2,0.0447,0.6205,TRUE,TRUE,FALSE
280,2,0.0023,0.1038,FALSE,TRUE,FALSE
281,2,0.0362,0.8306,TRUE,TRUE,FALSE
282,2,1e-4,0.0148,FALSE,TRUE,FALSE
283,2,0.0508,0.2234,TRUE,TRUE,FALSE
284,2,0.0131,0.0241,TRUE,TRUE,FALSE
285,2,0.0061,0.0257,FALSE,TRUE,FALSE
286,2,0.0042,0.3284,FALSE,TRUE,FALSE
287,2,0.001,0.3437,FALSE,TRUE,FALSE
288,NA,NA,NA,NA,NA,TRUE
289,2,0,1e-4,FALSE,FALSE,FALSE
290,2,0.0033,0.3117,FALSE,TRUE,FALSE
291,2,0,0.3046,FALSE,TRUE,FALSE
292,2,3e-4,0.306,FALSE,TRUE,FALSE
293,1,0.0218,NA,TRUE,NA,FALSE
294,2,0.0033,0.2164,FALSE,TRUE,FALSE
295,1,0.0623,NA,TRUE,NA,FALSE
296,2,0,1e-4,FALSE,FALSE,FALSE
297,2,0.0178,0.1365,TRUE,TRUE,FALSE
298,2,0.0115,0.0027,TRUE,FALSE,FALSE
299,2,0.1194,0.3004,TRUE,TRUE,FALSE
300,2,8e-4,0.3242,FALSE,TRUE,FALSE
301,2,0.0226,0.0293,TRUE,TRUE,FALSE
302,2,0.0088,0.0324,FALSE,TRUE,FALSE
303,2,0.0696,0.0244,TRUE,TRUE,FALSE
304,2,0.0035,0.1378,FALSE,TRUE,FALSE
305,2,0.0069,0.331,FALSE,TRUE,FALSE
306,2,0,1e-4,FALSE,FALSE,FALSE
307,2,0.0368,0.441,TRUE,TRUE,FALSE
308,1,0.3386,NA,TRUE,NA,FALSE
309,2,7e-4,0.0293,FALSE,TRUE,FALSE
310,2,0.03,0.0422,TRUE,TRUE,FALSE
311,2,0.1032,0.3545,TRUE,TRUE,FALSE
312,2,0.0209,0.7439,TRUE,TRUE,FALSE
313,1,0.0078,NA,FALSE,NA,FALSE
314,2,2e-4,0.3189,FALSE,TRUE,FALSE
315,2,0.0636,0.2296,TRUE,TRUE,FALSE
316,2,0.0043,0.5976,FALSE,TRUE,FALSE
317,2,0.0019,0.6859,FALSE,TRUE,FALSE
318,2,0.0145,0.331,TRUE,TRUE,FALSE
319,2,0.1664,0.0119,TRUE,TRUE,FALSE
320,2,0,0,FALSE,FALSE,FALSE
321,2,1e-4,0.8731,FALSE,TRUE,FALSE
322,2,2e-4,0.702,FALSE,TRUE,FALSE
323,1,0.0852,NA,TRUE,NA,FALSE
324,1,0.1019,NA,TRUE,NA,FALSE
325,2,5e-4,0.0757,FALSE,TRUE,FALSE
326,2,0.0068,0.7935,FALSE,TRUE,FALSE
327,2,1e-4,0.3826,FALSE,TRUE,FALSE
328,2,2e-4,8e-4,FALSE,FALSE,FALSE
329,2,2e-4,0.3295,FALSE,TRUE,FALSE
330,2,0.0275,0.7929,TRUE,TRUE,FALSE
331,2,0.0068,0.334,FALSE,TRUE,FALSE
332,2,0.0123,0.2006,TRUE,TRUE,FALSE
333,2,0.0012,0.0066,FALSE,FALSE,FALSE
334,1,0.0026,NA,FALSE,NA,FALSE
335,2,0.0305,0.5232,TRUE,TRUE,FALSE
336,2,5e-4,0.0238,FALSE,TRUE,FALSE
337,2,8e-4,0.3103,FALSE,TRUE,FALSE
338,2,2e-4,0.2337,FALSE,TRUE,FALSE
339,2,1e-4,0.0061,FALSE,FALSE,FALSE
340,1,0.1229,NA,TRUE,NA,FALSE
341,2,2e-4,0.082,FALSE,TRUE,FALSE
342,2,0.0021,0.0223,FALSE,TRUE,FALSE
343,1,0.0054,NA,FALSE,NA,FALSE
344,2,0.0015,0.0051,FALSE,FALSE,FALSE
345,2,0,0.0752,FALSE,TRUE,FALSE
346,2,0,4e-4,FALSE,FALSE,FALSE
347,1,0.0579,NA,TRUE,NA,FALSE
348,1,0.0832,NA,TRUE,NA,FALSE
349,2,0,0.0029,FALSE,FALSE,FALSE
350,2,0.001,0.0119,FALSE,TRUE,FALSE
351,2,0,1e-4,FALSE,FALSE,FALSE
352,2,0.0011,0.2905,FALSE,TRUE,FALSE
353,2,0.0078,0.2792,FALSE,TRUE,FALSE
354,2,1e-4,0.0084,FALSE,FALSE,FALSE
355,2,0,0.0563,FALSE,TRUE,FALSE
356,2,0.0196,0.0016,TRUE,FALSE,FALSE
357,2,0,0.015,FALSE,TRUE,FALSE
358,2,0.0885,0.3953,TRUE,TRUE,FALSE
359,2,0.0072,0.0782,FALSE,TRUE,FALSE
360,2,0.0093,0.2594,FALSE,TRUE,FALSE
361,2,0.0219,0.0049,TRUE,FALSE,FALSE
362,2,0.0051,0.0022,FALSE,FALSE,FALSE
363,2,0.0563,0.0021,TRUE,FALSE,FALSE
364,2,0.0034,0.0319,FALSE,TRUE,FALSE
365,2,1e-4,0.1283,FALSE,TRUE,FALSE
