data,valor,ln_cambio
2011-12-01,79.39,4.374372415737022
2012-01-01,76.75,4.340553386467307
2012-02-01,75.45,4.323470185213858
2012-03-01,79,4.3694478524670215
2012-04-01,81.1,4.395682961121367
2012-05-01,85.53,4.44886719159269
2012-06-01,87,4.465908118654584
2012-07-01,85.92,4.453416630760555
2012-08-01,86.89,4.464642950851115
2012-09-01,87.63,4.473123405067759
2012-10-01,87.34,4.469808548057415
2012-11-01,87.99,4.477223171657469
2012-12-01,88.5,4.483002552013883
2013-01-01,86,4.454347296253507
2013-02-01,83.58,4.425804257019769
2013-03-01,82.97,4.418479096676194
2013-04-01,83.3,4.422448549172797
2013-05-01,84.33,4.43473767358655
2013-06-01,90.18,4.501807672992938
2013-07-01,93.45,4.537426533901572
2013-08-01,98.06,4.585579536223087
2013-09-01,94.79,4.55166391846495
2013-10-01,91.47,4.516011049668273
2013-11-01,94.71,4.55081959123801
2013-12-01,95.87,4.562993107088905
2014-01-01,95.6,4.560172820057356
2014-02-01,94.72,4.550925171135695
2014-03-01,91.68,4.51830425296643
2014-04-01,87.63,4.473123405067759
2014-05-01,86.9,4.464758032271346
2014-06-01,87.05,4.466482666214198
2014-07-01,87.49,4.471524501118173
2014-08-01,88.77,4.486048755080228
2014-09-01,89.59,4.495243706609487
2014-10-01,92.87,4.531200665787917
2014-11-01,94.97,4.553561052254861
2014-12-01,96.64,4.570992734186505
2015-01-01,93.33,4.536141599577656
2015-02-01,98.77,4.592793914920036
2015-03-01,106.96,4.672454932793688
2015-04-01,103.69,4.6414056785701865
2015-05-01,104.13,4.645640118541804
2015-06-01,105.07,4.654626794700683
2015-07-01,108.32,4.685089809163965
2015-08-01,116.79,4.760377450290474
2015-09-01,129.34,4.862444596018447
2015-10-01,127.47,4.84788104279483
2015-11-01,121.97,4.8037751128551465
2015-12-01,122.1,4.804840381116659
2016-01-01,122.64,4.809253234563559
2016-02-01,120.27,4.789739215322525
2016-03-01,112.65,4.724285666878253
2016-04-01,110.04,4.700843936056374
2016-05-01,108.67,4.68831576707476
2016-06-01,104.88,4.652816839455444
2016-07-01,99.55,4.6006600305102054
2016-08-01,98.17,4.58670066970443
2016-09-01,99.1,4.596129441335942
2016-10-01,95.95,4.563827222453709
2016-11-01,98.84,4.593502381120409
2016-12-01,97.55,4.5803650670691205
2017-01-01,93.08,4.533459338434091
2017-02-01,91.5,4.516338972281476
2017-03-01,92.12,4.523092074952484
2017-04-01,93.26,4.535391291380175
2017-05-01,95.64,4.560591142590124
2017-06-01,99.23,4.5974403879261505
2017-07-01,97.45,4.57933942595357
2017-08-01,97.36,4.578415448679272
2017-09-01,97.51,4.579954936847027
2017-10-01,97.91,4.5840486893659795
2017-11-01,99.87,4.603869340255043
2017-12-01,100.99,4.6150215020384655
2018-01-01,99.48,4.599956618935204
2018-02-01,101.89,4.6238937999861935
2018-03-01,102.57,4.630545492319319
2018-04-01,106.74,4.6703959709057985
2018-05-01,110,4.700480365792417
2018-06-01,110.84,4.7080877199947775
2018-07-01,111.84,4.7170692784855
2018-08-01,113.82,4.734618253174978
2018-09-01,116.32,4.756345013785209
2018-10-01,106.32,4.66645341440499
2018-11-01,106.72,4.670208582167313
2018-12-01,109.46,4.695559185715772
2019-01-01,106.18,4.665135767155525
2019-02-01,105.64,4.660037087428932
2019-03-01,107.76,4.679906532102109
2019-04-01,108.96,4.690980842401202
2019-05-01,110.69,4.706733501397532
2019-06-01,107.71,4.679442430362679
2019-07-01,106.95,4.672361435528415
2019-08-01,110.62,4.706100904566532
2019-09-01,112.63,4.724108110059605
2019-10-01,112.09,4.719302120033004
2019-11-01,113.51,4.731890938767248
2019-12-01,111.81,4.716801002159277
2020-01-01,113.21,4.729244501090018
2020-02-01,118.07,4.771277668919018
2020-03-01,131.08,4.8758078238306135
2020-04-01,141.15,4.949823154699498
2020-05-01,149.83,5.009501318055053
2020-06-01,139.5,4.93806460126142
2020-07-01,144.21,4.971270570573979
2020-08-01,151.34,5.019528961266375
2020-09-01,148.91,5.003342096602114
2020-10-01,154.3,5.038898759369115
2020-11-01,148.42,5.000046092541988
2020-12-01,141,4.948759890378168
2021-01-01,147.02,4.9905686319459415
2021-02-01,148.59,5.001190835268256
