region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
277,2,0.0043,0.0485,FALSE,TRUE,FALSE
278,1,0,NA,FALSE,NA,FALSE
279,2,0.0291,0.392,TRUE,TRUE,FALSE
280,2,0.0138,0.0202,TRUE,TRUE,FALSE
281,2,0.0014,0.5117,FALSE,TRUE,FALSE
282,2,1e-4,0.0081,FALSE,FALSE,FALSE
283,2,0.0017,0.0235,FALSE,TRUE,FALSE
284,2,0.0018,0.0262,FALSE,TRUE,FALSE
285,2,0,5e-4,FALSE,FALSE,FALSE
286,2,1e-4,0.1365,FALSE,TRUE,FALSE
287,1,2e-4,NA,FALSE,NA,FALSE
288,1,0,NA,FALSE,NA,FALSE
289,2,0,5e-4,FALSE,FALSE,FALSE
290,2,0,0.0603,FALSE,TRUE,FALSE
291,2,0,0.1461,FALSE,TRUE,FALSE
292,2,0,0.0252,FALSE,TRUE,FALSE
293,2,0,0.0024,FALSE,FALSE,FALSE
294,2,0,0.027,FALSE,TRUE,FALSE
295,2,0,0.5052,FALSE,TRUE,FALSE
296,2,0,1e-4,FALSE,FALSE,FALSE
297,2,0.0011,0.3303,FALSE,TRUE,FALSE
298,2,2e-4,1e-4,FALSE,FALSE,FALSE
299,2,0.0843,0.6351,TRUE,TRUE,FALSE
300,2,5e-4,0.4083,FALSE,TRUE,FALSE
301,2,0.0485,0.1309,TRUE,TRUE,FALSE
302,2,0,0.0108,FALSE,TRUE,FALSE
303,2,0.0149,0.1634,TRUE,TRUE,FALSE
304,2,1e-4,0.0797,FALSE,TRUE,FALSE
305,2,8e-4,0.1011,FALSE,TRUE,FALSE
306,2,0,0.004,FALSE,FALSE,FALSE
307,2,0.0089,0.2007,FALSE,TRUE,FALSE
308,2,0,3e-4,FALSE,FALSE,FALSE
309,1,1e-4,NA,FALSE,NA,FALSE
310,2,3e-4,0.0552,FALSE,TRUE,FALSE
311,2,0.0116,0.929,TRUE,TRUE,FALSE
312,2,2e-4,0.0968,FALSE,TRUE,FALSE
313,2,0,0.0655,FALSE,TRUE,FALSE
314,2,0,0.0082,FALSE,FALSE,FALSE
315,2,0.0178,0.6472,TRUE,TRUE,FALSE
316,2,0,0.7532,FALSE,TRUE,FALSE
317,2,0,0.6972,FALSE,TRUE,FALSE
318,2,5e-4,0.4703,FALSE,TRUE,FALSE
319,2,0.0094,0.0015,FALSE,FALSE,FALSE
320,2,0,0,FALSE,FALSE,FALSE
321,2,0,0.0534,FALSE,TRUE,FALSE
322,2,1e-4,0.6649,FALSE,TRUE,FALSE
323,1,0.2952,NA,TRUE,NA,FALSE
324,1,2e-4,NA,FALSE,NA,FALSE
325,2,0.0013,0.0963,FALSE,TRUE,FALSE
326,2,0.0075,0.6375,FALSE,TRUE,FALSE
327,2,0.0012,0.2329,FALSE,TRUE,FALSE
328,2,1e-4,0.0455,FALSE,TRUE,FALSE
329,2,0,0.2588,FALSE,TRUE,FALSE
330,2,0,0.3755,FALSE,TRUE,FALSE
331,2,0.0043,0.4155,FALSE,TRUE,FALSE
332,2,0.0433,0.0896,TRUE,TRUE,FALSE
333,2,0,0.0211,FALSE,TRUE,FALSE
334,2,0.0016,0.013,FALSE,TRUE,FALSE
335,2,0.0349,0.108,TRUE,TRUE,FALSE
336,2,0,0.2406,FALSE,TRUE,FALSE
337,2,7e-4,0.5662,FALSE,TRUE,FALSE
338,2,2e-4,0.1013,FALSE,TRUE,FALSE
339,2,1e-4,0.0052,FALSE,FALSE,FALSE
340,1,0.0937,NA,TRUE,NA,FALSE
341,2,0,0.0408,FALSE,TRUE,FALSE
342,2,0,1e-4,FALSE,FALSE,FALSE
343,1,0.0134,NA,TRUE,NA,FALSE
