region;AIC;BIC;HaQ
414;18,95550;19,80170;19,29520
415;30,76710;31,45470;31,04310
416;28,32450;29,22350;28,68540
417;30,81690;31,87460;31,24150
418;20,94630;22,50640;21,57260
419;24,75790;25,84210;25,19310
420;23,93670;25,28520;24,47800
421;28,50330;30,14280;29,16140
422;27,77240;28,96230;28,25000
423;23,63440;24,85080;24,12270
424;22,78210;23,54900;23,08990
425;27,82730;28,30330;28,01840
426;25,20200;25,73080;25,41430
427;28,43420;29,33330;28,79510
428;27,80930;28,78770;28,20200
429;28,87180;29,66510;29,19030
430;26,84650;27,61330;27,15430
431;22,43650;24,10240;23,10530
432;26,16000;27,69370;26,77570
433;24,82300;25,72200;25,18390
434;20,29290;20,87460;20,52640
435;26,57700;27,44960;26,92720
436;24,19410;24,88160;24,47010
437;22,98760;23,51650;23,19990
438;22,46490;23,09960;22,71970
439;23,68790;24,40190;23,97450
440;22,11650;23,09490;22,50920
441;20,04610;20,86580;20,37510
442;22,22120;22,77650;22,44410
443;37,95260;39,11600;38,41960
444;27,39420;28,37260;27,78700
445;22,31710;23,50710;22,79480
446;24,81320;25,63290;25,14220
447;29,38800;30,78950;29,95060
448;25,77070;26,61690;26,11040
449;30,87480;32,17050;31,39490
450;25,81510;26,68770;26,16540
451;26,64840;27,44170;26,96690
452;26,41370;27,31280;26,77460
453;32,61910;33,62400;33,02250
454;26,72560;27,54530;27,05470
455;28,83880;29,63210;29,15720
456;26,55480;27,40090;26,89440
457;32,17640;33,10190;32,54790
458;30,88400;31,67730;31,20250
459;22,61290;23,48550;22,96320
460;24,83800;25,84290;25,24140
461;34,25410;35,39110;34,71050
462;16,94900;17,53070;17,18250
463;28,66470;29,40510;28,96190
464;28,32910;29,17520;28,66870
465;25,12870;26,63590;25,73370
466;25,68300;26,23830;25,90590
467;24,76480;25,47870;25,05140
468;23,80410;24,78250;24,19680
469;26,49260;27,20650;26,77920
470;20,11620;20,98880;20,46650
471;21,69370;22,51340;22,02270
472;24,58440;25,13970;24,80740
473;25,91040;26,49220;26,14400
474;24,44730;25,02900;24,68080
475;26,86070;27,73330;27,21100
476;26,03610;27,64910;26,68360
477;22,30280;23,22830;22,67430
478;21,79670;22,35200;22,01960
479;25,23520;26,21360;25,62800
480;30,54560;31,76200;31,03390
481;31,76390;32,53080;32,07180
482;22,65030;23,33780;22,92630
483;26,60960;27,29710;26,88550
484;20,23370;20,92120;20,50970
485;31,86910;33,03260;32,33620
486;28,44270;29,26240;28,77180
487;23,42340;23,97870;23,64630
488;25,95810;26,67210;26,24470
489;28,77130;29,45880;29,04730
490;27,86680;28,34280;28,05790
491;35,95800;36,77770;36,28710
492;28,73770;29,55750;29,06680
493;23,22730;24,28500;23,65190
494;26,83070;27,41240;27,06420
495;24,66290;25,16530;24,86460
496;24,40450;25,09200;24,68050
497;23,72400;24,35870;23,97880
498;29,16650;30,17130;29,56990
499;21,02870;22,08640;21,45330
500;26,77270;28,09480;27,30340
501;24,56660;25,73010;25,03370
502;24,08000;25,66660;24,71690
503;26,82810;27,88580;27,25270
504;32,82390;34,04030;33,31220
505;24,60570;25,82210;25,09400
506;25,51660;26,73300;26,00490
507;28,42860;29,69790;28,93810
508;26,87330;27,74590;27,22360
509;23,42390;24,66670;23,92280
510;30,74710;32,25440;31,35220
511;28,43570;29,73140;28,95580
512;24,97780;26,00910;25,39180
513;24,33910;26,37520;25,15640
514;24,83650;25,86780;25,25050
515;28,89060;29,63100;29,18790
516;25,39070;26,52780;25,84720
517;27,42020;29,53560;28,26930
518;26,78510;27,49900;27,07170
519;21,29610;22,45960;21,76310
520;26,33170;26,93990;26,57580
521;25,20280;25,89030;25,47880
522;24,62020;25,44000;24,94930
523;23,64550;24,78250;24,10190
524;30,10680;31,45530;30,64810
525;26,68100;27,97670;27,20120
526;18,23860;19,66650;18,81180
527;19,86930;20,68910;20,19840
528;34,89970;36,98870;35,73820
529;25,88370;27,10010;26,37200
530;26,72710;27,44100;27,01370
531;21,78600;23,13460;22,32730
532;30,57650;31,31690;30,87380
533;23,61120;24,98620;24,16310
534;21,60130;22,76480;22,06830
535;23,49970;24,55740;23,92430
536;18,83870;20,16080;19,36940
537;26,78670;27,58000;27,10510
538;21,57260;22,78890;22,06080
539;30,92250;32,19180;31,43200
540;29,79450;30,85230;30,21910
541;19,97190;20,73870;20,27970
542;26,76450;28,37750;27,41200
543;34,96170;36,15160;35,43930
544;21,38400;22,33590;21,76610
545;27,78760;29,21560;28,36080
546;32,30240;33,49230;32,78000
547;27,64660;28,51930;27,99690
548;30,07330;31,15740;30,50850
549;22,83370;23,62700;23,15210
550;26,67400;27,65240;27,06680
551;24,80970;26,81940;25,61640
552;36,42760;38,06710;37,08580
