region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
246,2,6e-4,0.2799,FALSE,TRUE,FALSE,0.0452,0.5327
247,2,1e-4,0.0069,FALSE,FALSE,FALSE,0.005,0.1106
248,2,0.0134,0.3042,TRUE,TRUE,FALSE,0.1055,0.5628
249,2,2e-4,0.3315,FALSE,TRUE,FALSE,0.005,0.4573
250,2,1e-4,0.0027,FALSE,FALSE,FALSE,0.005,0.0402
251,2,0,0.658,FALSE,TRUE,FALSE,0,0.7538
252,2,1e-4,0.7922,FALSE,TRUE,FALSE,0.005,0.9146
253,2,0,0.3356,FALSE,TRUE,FALSE,0,0.4824
254,1,2e-4,NA,FALSE,NA,FALSE,0.005,0
255,2,0,0.3415,FALSE,TRUE,FALSE,0,0.5025
256,2,0,0.0669,FALSE,TRUE,FALSE,0,0.191
257,2,0.0017,0.0365,FALSE,TRUE,FALSE,0.0402,0.2211
258,2,0,0.279,FALSE,TRUE,FALSE,0,0.4724
259,2,0,0.0092,FALSE,FALSE,FALSE,0,0.0201
260,2,0,0.2295,FALSE,TRUE,FALSE,0,0.402
261,2,0,0.0826,FALSE,TRUE,FALSE,0,0.2312
262,2,9e-4,0.2379,FALSE,TRUE,FALSE,0.0101,0.402
263,1,0,NA,FALSE,NA,FALSE,0,0
264,2,0,0.0015,FALSE,FALSE,FALSE,0,0.005
265,2,0,4e-4,FALSE,FALSE,FALSE,0,0.005
266,2,0,0.3769,FALSE,TRUE,FALSE,0,0.5628
267,2,0,0.5192,FALSE,TRUE,FALSE,0,0.6834
268,2,5e-4,0.0732,FALSE,TRUE,FALSE,0.0101,0.2613
269,2,0.0388,0.5802,TRUE,TRUE,FALSE,0.196,0.7739
270,2,3e-4,0.6042,FALSE,TRUE,FALSE,0.0151,0.7437
271,2,0,2e-4,FALSE,FALSE,FALSE,0,0
272,2,1e-4,0.6044,FALSE,TRUE,FALSE,0,0.7437
273,2,0,0.9435,FALSE,TRUE,FALSE,0.005,0.9548
274,2,0,0.0147,FALSE,TRUE,FALSE,0,0.0603
275,2,0,0.2057,FALSE,TRUE,FALSE,0,0.4724
276,2,0,0.1902,FALSE,TRUE,FALSE,0,0.2965
277,2,0.0043,0.0485,FALSE,TRUE,FALSE,0.0553,0.2161
278,1,0,NA,FALSE,NA,FALSE,0,0.005
279,2,0.0291,0.392,TRUE,TRUE,FALSE,0.1256,0.6482
280,2,0.0138,0.0202,TRUE,TRUE,FALSE,0.1106,0.1256
281,2,0.0014,0.5117,FALSE,TRUE,FALSE,0.0201,0.6583
282,2,1e-4,0.0081,FALSE,FALSE,FALSE,0,0.0302
283,2,0.0017,0.0235,FALSE,TRUE,FALSE,0.0302,0.1457
284,2,0.0018,0.0262,FALSE,TRUE,FALSE,0.0201,0.0704
285,2,0,5e-4,FALSE,FALSE,FALSE,0,0.005
286,2,1e-4,0.1365,FALSE,TRUE,FALSE,0,0.3266
287,1,2e-4,NA,FALSE,NA,FALSE,0.005,0.005
288,1,0,NA,FALSE,NA,FALSE,0,0
289,2,0,5e-4,FALSE,FALSE,FALSE,0,0.005
290,2,0,0.0603,FALSE,TRUE,FALSE,0,0.1658
291,2,0,0.1461,FALSE,TRUE,FALSE,0,0.3467
292,2,0,0.0252,FALSE,TRUE,FALSE,0,0.0653
293,2,0,0.0024,FALSE,FALSE,FALSE,0,0.0201
294,2,0,0.027,FALSE,TRUE,FALSE,0,0.1206
295,2,0,0.5052,FALSE,TRUE,FALSE,0,0.6633
296,2,0,1e-4,FALSE,FALSE,FALSE,0,0
297,2,0.0011,0.3303,FALSE,TRUE,FALSE,0.0201,0.4874
298,2,2e-4,1e-4,FALSE,FALSE,FALSE,0,0.005
299,2,0.0843,0.6351,TRUE,TRUE,FALSE,0.206,0.7538
300,2,5e-4,0.4083,FALSE,TRUE,FALSE,0.0352,0.5879
301,2,0.0485,0.1309,TRUE,TRUE,FALSE,0.196,0.3317
302,2,0,0.0108,FALSE,TRUE,FALSE,0,0.0302
303,2,0.0149,0.1634,TRUE,TRUE,FALSE,0.0653,0.3467
304,2,1e-4,0.0797,FALSE,TRUE,FALSE,0,0.1709
305,2,8e-4,0.1011,FALSE,TRUE,FALSE,0.0151,0.2613
306,2,0,0.004,FALSE,FALSE,FALSE,0,0.0402
307,2,0.0089,0.2007,FALSE,TRUE,FALSE,0.0302,0.407
308,2,0,3e-4,FALSE,FALSE,FALSE,0,0
309,1,1e-4,NA,FALSE,NA,FALSE,0,0
310,2,3e-4,0.0552,FALSE,TRUE,FALSE,0.005,0.1307
311,2,0.0116,0.929,TRUE,TRUE,FALSE,0.0452,0.9698
312,2,2e-4,0.0968,FALSE,TRUE,FALSE,0.005,0.191
313,2,0,0.0655,FALSE,TRUE,FALSE,0,0.2261
314,2,0,0.0082,FALSE,FALSE,FALSE,0,0.0201
315,2,0.0178,0.6472,TRUE,TRUE,FALSE,0.1156,0.804
316,2,0,0.7532,FALSE,TRUE,FALSE,0,0.8593
317,2,0,0.6972,FALSE,TRUE,FALSE,0,0.8141
318,2,5e-4,0.4703,FALSE,TRUE,FALSE,0,0.6432
319,2,0.0094,0.0015,FALSE,FALSE,FALSE,0.0452,0.0151
320,2,0,0,FALSE,FALSE,FALSE,0,0
321,2,0,0.0534,FALSE,TRUE,FALSE,0,0.1357
322,2,1e-4,0.6649,FALSE,TRUE,FALSE,0.005,0.7487
323,1,0.2952,NA,TRUE,NA,FALSE,0.402,0.5025
324,1,2e-4,NA,FALSE,NA,FALSE,0.005,0.0201
325,2,0.0013,0.0963,FALSE,TRUE,FALSE,0.0603,0.3216
326,2,0.0075,0.6375,FALSE,TRUE,FALSE,0.0402,0.7839
327,2,0.0012,0.2329,FALSE,TRUE,FALSE,0.0352,0.4372
328,2,1e-4,0.0455,FALSE,TRUE,FALSE,0.0101,0.1859
329,2,0,0.2588,FALSE,TRUE,FALSE,0,0.3668
330,2,0,0.3755,FALSE,TRUE,FALSE,0.0101,0.5427
331,2,0.0043,0.4155,FALSE,TRUE,FALSE,0.0653,0.598
332,2,0.0433,0.0896,TRUE,TRUE,FALSE,0.1206,0.2312
333,2,0,0.0211,FALSE,TRUE,FALSE,0,0.1055
334,2,0.0016,0.013,FALSE,TRUE,FALSE,0.0302,0.0251
335,2,0.0349,0.108,TRUE,TRUE,FALSE,0.1508,0.3015
336,2,0,0.2406,FALSE,TRUE,FALSE,0.0101,0.4221
337,2,7e-4,0.5662,FALSE,TRUE,FALSE,0.0101,0.7186
338,2,2e-4,0.1013,FALSE,TRUE,FALSE,0.0151,0.2814
339,2,1e-4,0.0052,FALSE,FALSE,FALSE,0,0.0302
