;SEM IIS;;;;COM IIS;;;;0;1;1
region;AIC;BIC;HaQ;;AIC;BIC;HaQ;;;;
195;21,5676;24,4764;22,7353;;17,9717;19,4525;18,5661;;1;1;1
196;21,624;24,5327;22,7916;;19,5348;20,4868;19,917;;1;1;1
197;22,838;25,7467;24,0056;;20,1006;21,7136;20,7481;;1;1;1
198;27,4012;30,3099;28,5688;;26,4764;27,5341;26,901;;1;1;1
199;19,3676;22,2763;20,5352;;12,5442;14,6068;13,3722;;1;1;1
200;30,9572;33,866;32,1249;;30,6043;31,2389;30,859;;1;1;1
201;31,797;34,7057;32,9646;;30,2198;31,727;30,8248;;1;1;1
202;23,1196;26,0018;24,2766;;21,9736;23,1106;22,43;;1;1;1
203;33,8792;36,788;35,0468;;33,2892;34,2676;33,6819;;1;1;1
204;35,045;37,9537;36,2126;;34,3864;35,6821;34,9065;;1;1;1
205;28,7259;31,6346;29,8935;;28,7481;30,2289;29,3425;;0;1;1
206;24,1077;27,0164;25,2753;;22,8209;23,6671;23,1606;;1;1;1
207;23,1117;26,0204;24,2793;;18,5811;21,8336;19,8868;;1;1;1
208;27,2024;30,1111;28,37;;19,6165;23,0277;20,9858;;1;1;1
209;25,742;28,6507;26,9096;;22,8758;23,8806;23,2792;;1;1;1
210;23,6182;26,5269;24,7858;;21,5084;22,9892;22,1028;;1;1;1
211;25,3616;28,2703;26,5292;;23,6889;24,6937;24,0923;;1;1;1
212;21,9876;24,8964;23,1553;;20,8175;21,8752;21,2421;;1;1;1
213;27,328;30,2368;28,4956;;22,0269;24,8828;23,1733;;1;1;1
214;25,6477;28,5565;26,8153;;23,6773;24,9994;24,208;;1;1;1
215;17,9962;20,9049;19,1638;;16,2592;17,1054;16,5989;;1;1;1
216;34,9745;37,8832;36,1421;;32,4333;33,4382;32,8367;;1;1;1
217;24,6218;27,504;25,7788;;23,3411;24,8748;23,9568;;1;1;1
218;26,0468;28,9555;27,2144;;25,0431;26,2066;25,5102;;1;1;1
219;30,4721;33,3544;31,6291;;29,5984;30,8676;30,1079;;1;1;1
220;21,9989;24,9076;23,1665;;20,6144;22,1745;21,2406;;1;1;1
221;25,6267;28,509;26,7837;;24,4817;25,8568;25,0337;;1;1;1
222;28,5807;31,463;29,7377;;27,6408;29,0423;28,2034;;1;1;1
223;25,4599;28,3422;26,6169;;24,7502;25,4907;25,0475;;1;1;1
224;24,735;27,6173;25,892;;23,3863;24,8142;23,9595;;1;1;1
225;24,2154;27,1241;25,383;;22,4418;23,7904;22,9831;;1;1;1
226;25,2536;28,1623;26,4212;;24,0125;25,1759;24,4795;;1;1;1
227;24,6752;27,5575;25,8322;;23,7755;24,8068;24,1895;;1;1;1
228;25,4154;28,3241;26,583;;24,08;25,0849;24,4834;;1;1;1
229;26,3144;29,2231;27,482;;24,2098;25,8493;24,8679;;1;1;1
230;30,9142;33,8229;32,0818;;29,6089;30,7195;30,0547;;1;1;1
231;23,3637;26,2724;24,5313;;21,2435;22,8566;21,891;;1;1;1
232;28,4776;31,3864;29,6453;;23,3961;24,6389;23,895;;1;1;1
233;25,9127;28,795;27,0697;;24,5104;25,8061;25,0306;;1;1;1
234;27,9311;30,8134;29,0881;;25,9433;27,3712;26,5165;;1;1;1
235;27,5426;30,4249;28,6996;;27,0651;28,1228;27,4897;;1;1;1
236;25,2981;28,1804;26,4551;;24,0723;25,0243;24,4545;;1;1;1
237;28,6758;31,5581;29,8328;;28,16;29,3234;28,627;;1;1;1
238;29,5321;32,4409;30,6998;;28,9733;29,7931;29,3024;;1;1;1
239;38,0326;40,9413;39,2002;;36,791;37,9809;37,2687;;1;1;1
240;23,1783;26,087;24,3459;;21,1754;22,7355;21,8017;;1;1;1
241;26,0809;28,9896;27,2485;;25,0156;26,232;25,5039;;1;1;1
242;29,1161;31,9984;30,2732;;27,6722;28,8357;28,1393;;1;1;1
243;21,0152;23,9239;22,1828;;20,1498;21,1811;20,5638;;1;1;1
244;26,6348;29,5436;27,8025;;24,3156;25,6377;24,8463;;1;1;1
245;26,118;29,0267;27,2856;;23,1754;25,7668;24,2156;;1;1;1
246;28,9727;31,8815;30,1404;;28,7948;29,5352;29,092;;1;1;1
247;28,114;31,0228;29,2816;;26,3098;27,1824;26,6601;;1;1;1
248;26,0442;28,953;27,2118;;24,4694;26,0031;25,085;;1;1;1
249;30,7018;33,6105;31,8694;;29,4421;30,2883;29,7818;;1;1;1
250;32,4001;35,3089;33,5678;;31,9644;33,075;32,4102;;1;1;1
251;28,2982;31,207;29,4659;;26,6001;27,7107;27,0459;;1;1;1
252;29,8555;32,7642;31,0231;;29,6958;30,304;29,94;;1;1;1
253;26,5059;29,4146;27,6735;;25,3381;26,3693;25,752;;1;1;1
254;27,5374;30,4461;28,705;;26,4012;27,7233;26,9319;;1;1;1
255;26,6165;29,5252;27,7841;;25,9;26,9313;26,314;;1;1;1
