variavel,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
R310_Desligados,-892,-754.860208052359,-137.13979194764102,-18,-32.21565600980887,14.215656009808868,-63,-157.95678339181478,94.95678339181478,159,-160.60417537468015,319.60417537468015,-123,-81.96058839125551,-41.03941160874449,-33,53.41908183637855,-86.41908183637855,136,273.875002582771,-137.875002582771,-139,34.57621780305249,-173.5762178030525,614,153.57442795230213,460.42557204769787,-462,-230.2912965811051,-231.7087034188949,-223,142.75939261209857,-365.75939261209857,967,813.2269461331507,153.7730538668493,R310,Desligados
R311_Admitidos,1440,1524.6596056191142,-84.65960561911425,100,172.74850466686792,-72.74850466686792,-778,-775.1062579300233,-2.8937420699767245,-10,157.8329948525712,-167.8329948525712,416,1062.8524812037863,-646.8524812037863,-182,-125.14262602580038,-56.85737397419962,153,301.7912144882746,-148.7912144882746,-336,-225.1679903150663,-110.8320096849337,-82,-431.6339948398445,349.6339948398445,-89,-113.00803623021972,24.008036230219716,-356,-118.26927026281113,-237.73072973718888,-364,-111.7608500619283,-252.2391499380717,R311,Admitidos
R311_Desligados,-1778,-1913.6579449862725,135.65794498627247,-85,22.411943462142233,-107.41194346214223,138,-337.04495641588323,475.04495641588323,-223,73.28378774564811,-296.2837877456481,0,-138.78768332080847,138.78768332080847,-16,183.30315086738227,-199.30315086738227,380,265.5822744295415,114.41772557045851,245,188.9172149578414,56.082785042158605,89,-168.17048060538417,257.17048060538417,-774,-279.84649575401437,-494.15350424598563,5,-107.3361877783052,112.3361877783052,2031,1124.8729775877232,906.1270224122768,R311,Desligados
R312_Admitidos,447,747.823429674145,-300.823429674145,1032,638.7342352292891,393.2657647707109,-714,-622.4376089253674,-91.56239107463261,-198,21.597192077372256,-219.59719207737226,267,718.1402800614937,-451.14028006149374,-66,-93.79311384606831,27.79311384606831,-91,-157.51804218023943,66.51804218023943,-109,-75.7304347379073,-33.2695652620927,-77,-253.2406369276046,176.2406369276046,-98,-264.94370589124827,166.94370589124827,-82,-242.54934304767716,160.54934304767716,-197,-270.8636155934945,73.8636155934945,R312,Admitidos
R312_Desligados,-677,-783.6369746083261,106.63697460832611,47,-241.87636230013183,288.87636230013186,80,-116.03644910433849,196.0364491043385,-430,-92.48278397586989,-337.5172160241301,350,172.27355180284417,177.72644819715583,-151,-107.00295721922504,-43.99704278077496,457,262.9013940956649,194.0986059043351,-306,-86.61644546373066,-219.38355453626934,-236,-251.47313377551677,15.473133775516771,-9,-6.191627885158773,-2.8083721148412266,-52,-125.23577351181635,73.23577351181635,354,779.9625397914283,-425.9625397914283,R312,Desligados
R313_Admitidos,891,780.2786723227185,110.72132767728147,575,330.24070204982627,244.75929795017373,-928,-619.4755507367502,-308.52444926324983,19,147.04601699438058,-128.04601699438058,-3,-96.19958464510766,93.19958464510766,-163,-231.99694982050767,68.99694982050767,54,-1.3898760486998754,55.389876048699875,205,114.00457326184888,90.99542673815112,-134,-166.33041397425995,32.330413974259955,25,18.483791596685947,6.516208403314053,-92,-169.3123698577006,77.31236985770059,-383,-331.28954463250693,-51.71045536749307,R313,Admitidos
R313_Desligados,-959,-764.3718595155274,-194.62814048447262,35,15.382080038506757,19.617919961493243,15,112.61763881678681,-97.61763881678681,-147,31.380064915695606,-178.3800649156956,124,161.38515024116046,-37.38515024116046,-142,-88.999076137057,-53.000923862943,117,284.5994809402723,-167.59948094027231,-43,-224.37484481161232,181.37484481161232,-15,-233.56172529514367,218.56172529514367,-34,38.29700320649373,-72.29700320649373,-8,101.78801708931371,-109.78801708931371,1108,717.4451235020111,390.55487649798886,R313,Desligados
R314_Admitidos,1231,1419.5434177396598,-188.54341773965984,672,-136.98760846555234,808.9876084655523,-996,-137.70422124122948,-858.2957787587706,184,172.08879051133985,11.911209488660148,17,52.3144771852497,-35.3144771852497,-503,-335.461341215184,-167.538658784816,333,590.4141608943842,-257.41416089438417,690,330.50485207003123,359.49514792996877,-570,-388.37242778278414,-181.62757221721586,168,23.699058875211534,144.30094112478847,-379,-274.76323435563177,-104.23676564436823,-668,-670.7006917296956,2.7006917296955635,R314,Admitidos
R314_Desligados,-1122,-939.5585653258855,-182.44143467411448,503,407.03892716691075,95.96107283308925,-286,-82.83272600991944,-203.16727399008056,-116,-90.44120763523425,-25.55879236476575,166,94.39111373445039,71.60888626554961,128,71.38606144793178,56.61393855206822,-174,152.37604436237518,-326.3760443623752,-48,-92.64365693150015,44.643656931500146,-161,-105.40097724300118,-55.59902275699882,36,40.68534135742203,-4.685341357422033,-3,-15.621279800607525,12.621279800607525,1168,947.7136555881268,220.2863444118732,R314,Desligados
R315_Admitidos,1904,1756.3967334396043,147.6032665603957,4007,366.2600710972277,3640.739928902772,-4264,-2787.715488292354,-1476.2845117076458,1334,1314.3270882177694,19.672911782230585,-719,-611.8578819730319,-107.14211802696809,-1268,-425.634295533211,-842.365704466789,685,608.0791923718756,76.92080762812441,372,557.9249587406341,-185.9249587406341,-312,-76.84831887440225,-235.15168112559775,418,208.31620465343087,209.68379534656913,-645,-426.77840325582247,-218.22159674417753,-1608,-998.5129028301244,-609.4870971698756,R315,Admitidos
R315_Desligados,-3787,-4036.911719375674,249.91171937567378,-227,26.345151799192877,-253.34515179919288,263,978.8316506994388,-715.8316506994388,-112,205.71855806238787,-317.71855806238784,80,522.725712157562,-442.72571215756204,-688,24.354456052060527,-712.3544560520605,507,698.7684197348415,-191.76841973484147,-11,366.0346408106909,-377.0346408106909,-92,-40.140214294160614,-51.859785705839386,-63,165.67786347301868,-228.67786347301868,-279,-103.79535956087068,-175.20464043912932,3896,2550.3270701771435,1345.6729298228565,R315,Desligados
