,Data,lpim_BR,ln_Selic_aa,ln_cambio,ln_IPCA,ln_oil,Dln_IPCA,EmpLiq
"2003-12","2003M12",4.3554259528767023,0.156229329,4.8908753059999999,7.7095281389999997,3.395558324,0.0051850059999996034,-573752
"2004-1","2004M01",4.3412046401536264,0.151150221,4.874662829,7.7170975679999998,3.438609934,0.0075694290000001274,362603
"2004-2","2004M02",4.3040650932041702,0.15099795199999999,4.9252952470000002,7.7231776129999998,3.429655254,0.0060800450000000339,359925
"2004-3","2004M03",4.4647580322713463,0.150071485,4.9090454379999997,7.7278654519999996,3.520435075,0.0046878389999998049,281309
"2004-4","2004M04",4.4091553020621346,0.14804002099999999,4.9060152449999999,7.7315578450000002,3.5074393270000002,0.0036923930000005711,275886
"2004-5","2004M05",4.4578295980893818,0.146439403,4.9598331069999997,7.7366432850000004,3.6307457749999998,0.0050854400000002187,406906
"2004-6","2004M06",4.4555094114336846,0.14668645899999999,4.9705075030000003,7.7437162620000004,3.56083945,0.0070729769999999803,296256
"2004-7","2004M07",4.5009201646142918,0.14646690500000001,4.9373474980000003,7.7527733999999997,3.647311443,0.0090571379999992985,286359
"2004-8","2004M08",4.5228749432612609,0.14722418200000001,4.9174229120000001,7.7596482800000004,3.7619186739999999,0.0068748800000006938,314068
"2004-9","2004M09",4.5228749432612609,0.149227524,4.8796150320000002,7.7629447750000002,3.7700508949999998,0.0032964949999998439,273788
"2004-10","2004M10",4.5379614362946414,0.15194633499999999,4.8750446399999996,7.7673359670000002,3.9074219609999998,0.0043911919999999327,124218
"2004-11","2004M11",4.5196122976264448,0.15664640699999999,4.8601999259999999,7.7742127029999999,3.762478368,0.0068767359999997169,96540
"2004-12","2004M12",4.4391156016580089,0.16127307699999999,4.8432417579999996,7.7827739149999999,3.6802444529999998,0.0085612120000000402,-789702
"2005-1","2005M01",4.3944491546724391,0.16492729,4.8204428430000004,7.7885556109999996,3.7906298899999999,0.0057816959999996698,585910
"2005-2","2005M02",4.3359826961724748,0.169515584,4.7879083229999999,7.7944400480000002,3.8189642890000002,0.0058844370000006307,398639
"2005-3","2005M03",4.4773368144782069,0.173721818,4.8307108620000001,7.8005194180000004,3.9716609510000001,0.0060793700000001394,310157
"2005-4","2005M04",4.4659081186545837,0.17660912300000001,4.7728855899999996,7.8091800579999999,3.9484926850000002,0.0086606399999995531,424464
"2005-5","2005M05",4.5119578042659123,0.179025711,4.7152794089999999,7.8140684,3.8849881060000002,0.004888342000000101,319303
"2005-6","2005M06",4.5152454784601046,0.18019871700000001,4.685366728,7.8138663739999998,3.9946665239999999,-0.00020202600000018833,281465
"2005-7","2005M07",4.5053498507058807,0.180004576,4.6670175890000003,7.8163645839999996,4.0531587450000002,0.0024982099999997232,159385
"2005-8","2005M08",4.5601728200573559,0.18022170900000001,4.6711451750000004,7.8180641550000001,4.1608309129999999,0.0016995710000005104,225039
"2005-9","2005M09",4.5217885770490405,0.179034105,4.6446793189999998,7.8215589210000003,4.1428533019999998,0.0034947660000002045,278812
