region;AIC;BIC;HaQ
340;31,0367;31,5170;31,2300
341;25,6671;26,3734;25,9514
342;28,1100;28,7033;28,3488
343;23,3733;24,2492;23,7259
344;28,7417;29,3633;28,9919
345;26,9933;27,4453;27,1752
346;39,7711;41,2685;40,3738
347;24,5838;25,8834;25,1069
348;27,0126;27,6907;27,2856
349;26,3568;27,1196;26,6638
350;32,5956;33,4714;32,9482
351;33,7759;34,5953;34,1057
352;26,2181;27,0374;26,5479
353;27,2559;28,4991;27,7563
354;28,4469;29,2379;28,7653
355;27,3137;28,1047;27,6321
356;32,3111;33,5824;32,8228
357;30,5955;31,8386;31,0958
358;30,6904;31,5380;31,0316
359;34,7305;35,5781;35,0716
360;35,2610;36,5607;35,7842
361;28,0595;28,6528;28,2983
362;30,1461;31,0784;30,5214
363;32,7284;33,4064;33,0013
364;31,6688;32,7424;32,1009
365;28,3880;29,4616;28,8201
366;31,2914;31,8564;31,5188
367;33,7760;34,5671;34,0944
368;27,5329;28,0414;27,7376
369;29,9727;30,5095;30,1887
370;34,6324;35,1409;34,8371
371;30,0703;30,5789;30,2750
372;29,7212;30,2863;29,9486
373;32,1837;32,9747;32,5021
374;34,1391;34,6759;34,3551
375;30,8198;31,4979;31,0927
376;30,0844;30,7343;30,3460
377;30,8855;31,4506;31,1130
378;35,4853;36,3047;35,8151
379;25,2499;25,8714;25,5001
380;26,9353;27,8959;27,3220
381;29,1957;30,1563;29,5824
382;30,7887;31,3820;31,0275
383;23,5245;24,0048;23,7178
384;28,8347;29,7953;29,2214
385;31,5356;32,6375;31,9792
386;30,3091;31,1002;30,6275
387;26,7587;27,4085;27,0202
388;29,0660;29,5462;29,2593
389;29,3371;30,1847;29,6783
390;25,3486;25,9137;25,5761
391;25,1621;27,9591;26,2879
392;32,7735;33,3103;32,9896
393;31,8923;32,7681;32,2448
394;29,7307;30,1828;29,9127
395;23,0160;23,4963;23,2093
396;33,3010;34,2334;33,6763
397;27,7958;29,0106;28,2848
398;19,1073;19,8137;19,3916
399;20,3783;21,3107;20,7536
400;27,4885;27,9688;27,6818
401;25,8898;26,4549;26,1172
402;22,6075;23,1726;22,8350
403;23,6213;24,7797;24,0876
404;42,4688;43,3446;42,8213
405;22,3113;22,9329;22,5615
406;32,7661;33,6419;33,1186
407;30,2701;31,2589;30,6681
408;28,0114;28,7743;28,3185
409;29,2013;30,2749;29,6334
410;27,1759;27,8539;27,4488
411;26,5027;27,0677;26,7301
412;30,9400;31,9288;31,3380
413;29,4478;30,4083;29,8344
414;19,0608;19,9367;19,4134
415;30,8426;31,6054;31,1496
416;28,6921;29,3702;28,9651
417;31,2364;31,8297;31,4752
418;21,4862;22,7575;21,9979
419;25,7139;26,4202;25,9982
420;25,6662;26,3160;25,9277
421;30,5630;31,2693;30,8473
422;28,6383;29,3446;28,9226
423;24,4350;25,2260;24,7534
424;23,0342;23,5427;23,2389
425;28,0021;28,4824;28,1954
426;25,2361;25,7164;25,4294
427;29,4880;30,0813;29,7268
428;28,1023;29,0347;28,4776
429;28,7248;29,7419;29,1342
430;27,2085;27,8301;27,4587
431;23,1937;24,6628;23,7850
432;26,0060;27,4186;26,5746
433;25,2260;25,7628;25,4420
434;20,3530;20,9180;20,5804
435;26,9883;27,4968;27,1930
436;24,3049;25,0677;24,6120
437;23,0896;23,5982;23,2943
438;22,4473;22,9276;22,6406
439;23,7495;24,3710;23,9997
440;22,1626;23,0102;22,5038
441;20,3189;20,8839;20,5463
442;22,2923;22,7444;22,4743
443;37,7425;39,1833;38,3224
444;27,4762;28,1825;27,7605
445;22,4487;23,4658;22,8581
446;25,3869;25,8672;25,5803
447;29,4887;31,2686;30,2052
448;26,9782;27,6280;27,2397
449;31,7723;33,2132;32,3523
450;26,0203;26,8678;26,3614
451;26,7797;27,4295;27,0413
452;26,9805;27,9693;27,3785
453;32,8674;33,6302;33,1744
454;26,9718;27,8194;27,3130
455;29,0840;29,7620;29,3569
456;27,1738;27,9931;27,5036
457;32,0248;33,0702;32,4456
458;30,6209;31,3838;30,9280
459;23,0750;23,5553;23,2683
460;24,7510;25,9094;25,2173
461;33,7372;35,4041;34,4082
462;16,7273;17,4902;17,0344
463;28,8062;29,5973;29,1247
464;28,6946;29,3444;28,9561
465;25,1751;26,5030;25,7096
466;25,6308;26,1676;25,8468
467;25,3041;25,8691;25,5315
468;24,6353;25,5111;24,9878
469;26,8893;27,3978;27,0940
470;20,1635;21,2089;20,5843
471;21,8758;22,6951;22,2056
472;24,5554;25,0922;24,7715
473;25,9041;26,4692;26,1316
474;24,6329;25,1414;24,8376
475;27,0145;27,9469;27,3898
476;26,0259;26,9582;26,4012
477;22,9272;23,6335;23,2115
478;21,5238;22,3714;21,8650
479;25,5054;26,4378;25,8807
480;30,6089;31,4847;30,9614
481;31,8306;32,8759;32,2513
482;22,6756;23,4384;22,9826
483;26,8051;27,4266;27,0552
484;20,4779;21,2972;20,8076
485;32,2610;33,3064;32,6818
486;28,6355;29,6243;29,0335
487;23,4827;23,9912;23,6874
488;25,7421;26,5332;26,0606
489;28,8336;29,4551;29,0837
490;27,7303;28,3236;27,9691
491;35,9960;36,8153;36,3258
492;28,3992;29,5011;28,8427
493;23,6089;24,1740;23,8364
494;27,1088;27,5891;27,3021
495;24,7458;25,2826;24,9619
496;24,6932;25,1735;24,8865
497;23,9581;24,4667;24,1628
498;29,3397;29,9896;29,6013
499;21,8475;22,3560;22,0522
500;26,7553;27,9984;27,2556
501;24,4851;25,6152;24,9400
502;25,2359;26,1118;25,5885
503;27,3074;28,2680;27,6941
504;33,3654;34,7781;33,9341
505;24,7391;25,5302;25,0575
506;26,2324;27,0234;26,5508
507;28,5241;29,7390;29,0131
508;27,5507;28,2005;27,8122
509;23,5235;24,6253;23,9670
510;31,0044;32,2757;31,5161
511;29,3091;30,0154;29,5934
512;25,2288;26,1329;25,5927
513;24,1274;26,4159;25,0486
514;26,0321;26,5971;26,2595
515;29,0212;29,6992;29,2941
516;25,4143;26,5726;25,8805
517;28,1518;29,4796;28,6863
518;26,9285;27,4936;27,1560
519;21,9672;22,5323;22,1947
520;26,4058;27,1404;26,7015
521;25,4485;26,2960;25,7896
522;25,0156;25,6089;25,2544
523;24,1154;25,1607;24,5362
524;31,1133;31,8196;31,3976
525;27,7338;28,4118;28,0067
526;19,0526;19,7306;19,3255
527;20,0508;20,7288;20,3237
528;34,8364;38,3680;36,2579
529;26,2200;26,7850;26,4474
530;27,1875;28,0916;27,5514
531;21,6335;22,8484;22,1225
532;30,8695;31,5476;31,1424
533;24,2470;25,0664;24,5768
534;21,7001;22,7737;22,1323
535;22,8919;23,8242;23,2672
536;19,0027;19,9916;19,4008
537;26,4229;27,4400;26,8323
538;22,1648;23,0407;22,5174
539;31,3261;32,0890;31,6332
540;29,6932;30,7668;30,1254
541;19,7754;20,8490;20,2075
542;27,0870;28,3301;27,5874
543;35,4451;36,3774;35,8203
544;21,9207;22,4857;22,1481
545;28,0374;29,0827;28,4582
546;32,4944;33,6528;32,9607
547;28,2378;28,8029;28,4652
548;30,1297;30,9208;30,4481
549;22,7876;23,5222;23,0833
550;27,0183;27,6964;27,2913
551;24,9597;27,0787;25,8126
552;36,6710;38,0271;37,2169
